0.831	0.753
0.828	0.749
0.825	0.745
0.822	0.741
0.818	0.737
0.815	0.733
0.812	0.729
0.809	0.725
0.806	0.721
0.802	0.717
0.799	0.712
0.796	0.708
0.793	0.704
0.790	0.700
0.786	0.695
0.783	0.691
0.780	0.686
0.777	0.682
0.774	0.678
0.770	0.673
0.767	0.669
0.764	0.664
0.761	0.659
0.758	0.655
0.754	0.650
0.751	0.645
0.748	0.641
0.745	0.636
0.741	0.631
0.738	0.626
0.735	0.621
0.732	0.616
0.729	0.611
0.725	0.607
0.722	0.602
0.719	0.597
0.716	0.592
0.713	0.587
0.709	0.582
0.706	0.577
0.703	0.572
0.700	0.567
0.697	0.563
0.693	0.558
0.690	0.553
0.687	0.548
0.684	0.544
0.681	0.539
0.677	0.535
0.674	0.531
0.671	0.526
0.668	0.522
0.665	0.518
0.661	0.514
0.658	0.510
0.655	0.506
0.652	0.502
0.648	0.498
0.645	0.494
0.642	0.491
0.639	0.487
0.636	0.484
0.632	0.480
0.629	0.477
0.626	0.473
0.623	0.470
0.620	0.466
0.616	0.463
0.613	0.459
0.610	0.456
0.607	0.453
0.604	0.449
0.600	0.446
0.597	0.442
0.594	0.439
0.591	0.435
0.588	0.432
0.584	0.428
0.581	0.425
0.578	0.421
0.575	0.418
0.572	0.414
0.568	0.411
0.565	0.407
0.562	0.403
0.559	0.400
0.556	0.396
0.552	0.393
0.549	0.389
0.546	0.385
0.543	0.382
0.539	0.378
0.536	0.375
0.533	0.371
0.530	0.368
0.527	0.364
0.523	0.361
0.520	0.358
0.517	0.354
0.514	0.351
0.511	0.348
0.507	0.344
0.504	0.341
0.501	0.338
0.498	0.335
0.495	0.332
0.491	0.329
0.488	0.325
0.485	0.322
0.482	0.319
0.479	0.316
0.475	0.313
0.472	0.310
0.469	0.307
0.466	0.304
0.463	0.302
0.459	0.299
0.456	0.296
0.453	0.293
0.450	0.290
0.446	0.287
0.443	0.284
0.440	0.281
0.437	0.278
0.434	0.275
0.430	0.272
0.427	0.269
0.424	0.265
0.421	0.262
0.418	0.259
0.414	0.256
0.411	0.253
0.408	0.250
0.405	0.247
0.402	0.243
0.398	0.240
0.395	0.237
0.392	0.234
0.389	0.231
0.386	0.228
0.382	0.224
0.379	0.221
0.376	0.218
0.373	0.215
0.370	0.212
0.366	0.209
0.363	0.206
0.360	0.203
0.357	0.200
0.354	0.197
0.350	0.194
0.347	0.191
0.344	0.188
0.341	0.185
0.337	0.183
0.334	0.180
0.331	0.177
0.328	0.174
0.325	0.172
0.321	0.169
0.318	0.166
0.315	0.164
0.312	0.161
0.309	0.159
0.305	0.156
0.302	0.153
0.299	0.151
0.296	0.148
0.293	0.146
0.289	0.143
0.286	0.141
0.283	0.138
0.280	0.135
0.277	0.133
0.273	0.130
0.270	0.127
0.267	0.124
0.264	0.121
0.261	0.118
0.257	0.115
0.254	0.112
0.251	0.109
0.248	0.105
0.244	0.102
0.241	0.098
0.238	0.094
0.235	0.090
0.232	0.086
0.228	0.082
0.225	0.078
0.222	0.073
0.219	0.069
0.216	0.064
0.212	0.060
0.209	0.055
0.206	0.050
0.203	0.045
0.200	0.040
0.196	0.034
0.193	0.029
0.190	0.024
0.187	0.018
0.184	0.013
0.180	0.008
0.177	0.002
0.174	-0.003
0.171	-0.008
0.168	-0.014
0.164	-0.019
0.161	-0.024
0.158	-0.029
0.155	-0.034
0.152	-0.039
0.148	-0.044
0.145	-0.049
0.142	-0.053
0.139	-0.058
0.135	-0.062
0.132	-0.066
0.129	-0.070
0.126	-0.074
0.123	-0.078
0.119	-0.081
0.116	-0.085
0.113	-0.088
0.110	-0.092
0.107	-0.095
0.103	-0.098
0.100	-0.101
0.097	-0.103
0.094	-0.106
0.091	-0.109
0.087	-0.111
0.084	-0.114
0.081	-0.116
0.078	-0.119
0.075	-0.121
0.071	-0.123
0.068	-0.125
0.065	-0.128
0.062	-0.130
0.059	-0.132
0.055	-0.134
0.052	-0.137
0.049	-0.139
0.046	-0.141
0.042	-0.144
0.039	-0.146
0.036	-0.149
0.033	-0.151
0.030	-0.153
0.026	-0.156
0.023	-0.159
0.020	-0.161
0.017	-0.164
0.014	-0.167
0.010	-0.170
0.007	-0.173
0.004	-0.176
0.001	-0.179
-0.002	-0.182
-0.006	-0.185
-0.009	-0.188
-0.012	-0.192
-0.015	-0.195
-0.018	-0.199
-0.022	-0.202
-0.025	-0.206
-0.028	-0.209
-0.031	-0.213
-0.034	-0.217
-0.038	-0.221
-0.041	-0.225
-0.044	-0.229
-0.047	-0.232
-0.051	-0.236
-0.054	-0.240
-0.057	-0.244
-0.060	-0.249
-0.063	-0.253
-0.067	-0.257
-0.070	-0.261
-0.073	-0.265
-0.076	-0.269
-0.079	-0.273
-0.083	-0.277
-0.086	-0.281
-0.089	-0.285
-0.092	-0.290
-0.095	-0.294
-0.099	-0.298
-0.102	-0.302
-0.105	-0.307
-0.108	-0.311
-0.111	-0.315
-0.115	-0.320
-0.118	-0.325
-0.121	-0.329
-0.124	-0.334
-0.127	-0.340
-0.131	-0.345
-0.134	-0.350
-0.137	-0.356
-0.140	-0.362
-0.143	-0.369
-0.147	-0.375
-0.150	-0.382
-0.153	-0.390
-0.156	-0.397
-0.160	-0.405
-0.163	-0.414
-0.166	-0.423
-0.169	-0.432
-0.172	-0.442
-0.176	-0.453
